Region,Income,,
duluth / superior,60316.00,,
new haven,37508.00,,
albuquerque,47413.00,,
lubbock,48042.00,,
fargo / moorhead,62820.00,,
albany,73398.00,,
northwest CT,104375.00,,
washington,85203.00,,
eastern NC,57341.00,,
winchester,141829.00,,
bellingham,42440.00,,
mcallen / edinburg,41800.00,,
mankato,45621.00,,
space coast,57888.00,,
st augustine,43204.00,,
tallahassee,39407.00,,
kennewick-pasco-richland,68283.00,,
binghamton,30828.00,,
treasure coast,48552.00,,
athens,36637.00,,
palm springs,45497.00,,
odessa / midland,56119.00,,
redding,43773.00,,
reno / tahoe,72132.00,,
san angelo,42855.00,,
san antonio,46317.00,,
siskiyou county,44200.00,,
stockton,54297.00,,
clovis / portales,44770.00,,
delaware,64805.00,,
farmington,92933.00,,
las cruces,40658.00,,
roswell / carlsbad,60000.00,,
santa fe / taos,50213.00,,
daytona beach,32932.00,,
florida keys,67712.00,,
ft myers / SW florida,79499.00,,
rochester,30784.00,,
gainesville,32108.00,,
heartland florida,42206.00,,
jacksonville,54269.00,,
orlando,41901.00,,
lakeland,39238.00,,
north central FL,54963.00,,
ocala,37442.00,,
okaloosa / walton,27049.00,,
knoxville,33494.00,,
buffalo,37359.00,,
finger lakes,82956.00,,
long island,92838.00,,
hudson valley,72300.00,,
ithaca,58626.00,,
monroe,43328.00,,
zanesville / cambridge,26240.00,,
auburn,37406.00,,
inland empire,70954.00,,
panama city,37453.00,,
bend,52471.00,,
eau claire,47660.00,,
yakima,56233.00,,
tampa bay area,57906.00,,
charleston,52971.00,,
fayetteville,44514.00,,
los angeles,62474.00,,
muskegon,50366.00,,
new york city,57782.00,,
lawton,47262.00,,
memphis,37199.00,,
chillicothe,38363.00,,
northwest OK,180600.00,,
omaha / council bluffs,70373.00,,
northern michigan,59584.00,,
cape cod / islands,58259.00,,
las vegas,62107.00,,
birmingham,31217.00,,
cincinnati,43585.00,,
pensacola,46424.00,,
port huron,38378.00,,
san marcos,16270.00,,
saginaw-midland-baycity,48303.00,,
oklahoma city,53973.00,,
southwest MN,68411.00,,
southwest TX,74326.00,,
southwest michigan,54938.00,,
eastern panhandle,24146.00,,
springfield,47034.00,,
tyler / east TX,42752.00,,
the thumb,27459.00,,
st cloud,66076.00,,
upper peninsula,54938.00,,
morgantown,32400.00,,
bemidji,33197.00,,
brainerd,33415.00,,
augusta,37593.00,,
southern WV,44097.00,,
west virginia (old),44097.00,,
appleton-oshkosh-FDL,86284.00,,
pittsburgh,47417.00,,
sarasota-bradenton,41670.00,,
moses lake,51800.00,,
green bay,43063.00,,
victoria,52350.00,,
waco,37735.00,,
wichita falls,43751.00,,
janesville,54573.00,,
kenosha-racine,59749.00,,
sioux city,53281.00,,
south florida,51362.00,,
dothan,42026.00,,
gulfport / biloxi,36658.00,,
logan,35770.00,,
hattiesburg,27827.00,,
jackson,33080.00,,
florence / muscle shoals,45824.00,,
gadsden-anniston,27922.00,,
huntsville / decatur,67157.00,,
meridian,63225.00,,
la crosse,59608.00,,
north mississippi,45792.00,,
southwest MS,43567.00,,
southeast IA,58580.00,,
columbia / jeff city,39692.00,,
olympic peninsula,40523.00,,
owensboro,38213.00,,
brunswick,54406.00,,
madison,53933.00,,
waterloo / cedar falls,52678.00,,
western KY,50247.00,,
ogden-clearfield,79251.00,,
provo / orem,79152.00,,
baton rouge,38790.00,,
salt lake city,45833.00,,
milwaukee,35489.00,,
pullman / moscow,20652.00,,
minneapolis / st paul,83698.00,,
mobile,39241.00,,
kansas city,54372.00,,
northern WI,64168.00,,
sheboygan,21879.00,,
wausau,40464.00,,
joplin,42782.00,,
wyoming,61584.00,,
columbus,52971.00,,
st george,48188.00,,
kirksville,38152.00,,
lake of the ozarks,41176.00,,
southeast missouri,52624.00,,
central louisiana,47905.00,,
vermont,60076.00,,
houma,43780.00,,
mendocino county,58340.00,,
merced,57745.00,,
macon / warner robins,54024.00,,
modesto,47607.00,,
montgomery,108188.00,,
tuscaloosa,44120.00,,
anchorage / mat-su,83648.00,,
lafayette,45682.00,,
monterey bay,66676.00,,
orange county,89759.00,,
lake charles,41538.00,,
st joseph,42042.00,,
billings,49265.00,,
san luis obispo,71148.00,,
new orleans,27255.00,,
corvallis/albany,28046.00,,
bozeman,46422.00,,
butte,43165.00,,
eastern montana,49088.00,,
great falls,43374.00,,
stillwater,32255.00,,
sacramento,65046.00,,
helena,56221.00,,
south coast,73648.00,,
texoma,62663.00,,
tulsa,41957.00,,
lawrence,34496.00,,
kalispell,40511.00,,
manhattan,82459.00,,
northwest KS,57422.00,,
missoula,41968.00,,
charlottesville,75907.00,,
asheville,44077.00,,
salina,44398.00,,
boone,13608.00,,
southeast KS,65653.00,,
danville,140616.00,,
charlotte,53274.00,,
shreveport,47447.00,,
east oregon,24455.00,,
topeka,41412.00,,
eugene,42715.00,,
wichita,51051.00,,
greensboro,45787.00,,
fredericksburg,49454.00,,
susanville,49430.00,,
ventura county,84566.00,,
bowling green,34036.00,,
eastern kentucky,24500.00,,
huntington-ashland,48832.00,,
lexington,54896.00,,
dayton / springfield,57300.00,,
harrisonburg,43893.00,,
lynchburg,39391.00,,
new river valley,55180.00,,
norfolk / hampton roads,54550.00,,
louisville,44806.00,,
oneonta,38034.00,,
san diego,79646.00,,
plattsburgh-adirondacks,33941.00,,
potsdam-canton-massena,46677.00,,
richmond,68324.00,,
santa barbara,65916.00,,
santa maria,50753.00,,
fairbanks,55778.00,,
SF bay area,96265.00,,
kenai peninsula,66684.00,,
southeast alaska,76715.00,,
flagstaff / sedona,50133.00,,
mohave county,50179.00,,
hickory / lenoir,50631.00,,
lima / findlay,60429.00,,
syracuse,31566.00,,
klamath falls,39738.00,,
medford-ashland,43500.00,,
outer banks,59624.00,,
roanoke,39530.00,,
mansfield,89774.00,,
kansas city,54372.00,,
raleigh / durham / CH,65695.00,,
northern panhandle,27250.00,,
parkersburg-marietta,34296.00,,
oregon coast,63426.00,,
twin tiers NY/PA,48149.00,,
st louis,66417.00,,
maine,55425.00,,
utica-rome-oneida,33873.00,,
sandusky,34377.00,,
toledo,35866.00,,
wilmington,42130.00,,
winston-salem,44311.00,,
grand island,46527.00,,
lincoln,61539.00,,
north platte,43772.00,,
scottsbluff / panhandle,37813.00,,
elko,74433.00,,
watertown,53348.00,,
central NJ,85751.00,,
visalia-tulare,28555.00,,
jersey shore,54614.00,,
new hampshire,74991.00,,
yuba-sutter,23038.00,,
north jersey,35928.00,,
boulder,62403.00,,
colorado springs,54228.00,,
annapolis,75320.00,,
southwest VA,37663.00,,
baltimore,51000.00,,
denver,68377.00,,
south jersey,79363.00,,
atlanta,65345.00,,
roseburg,41431.00,,
cumberland valley,32179.00,,
eastern shore,43210.00,,
frederick,65967.00,,
skagit / island / SJI,73345.00,,
southern maryland,69272.00,,
eastern CO,45000.00,,
fort collins / north CO,62132.00,,
western maryland,67989.00,,
boston,71834.00,,
tuscarawas co,51170.00,,
high rockies,24049.00,,
lewiston / clarkston,51330.00,,
pueblo,34889.00,,
youngstown,24361.00,,
western slope,77127.00,,
eastern CT,99104.00,,
hartford,73151.00,,
bismarck,57660.00,,
grand forks,44134.00,,
north dakota,63473.00,,
akron / canton,57158.00,,
wenatchee,47168.00,,
prescott,45190.00,,
show low,39795.00,,
sierra vista,58818.00,,
tucson,43676.00,,
altoona-johnstown,36258.00,,
erie,33007.00,,
harrisburg,32476.00,,
lancaster,57120.00,,
lehigh valley,62278.00,,
meadville,32259.00,,
catskills,61607.00,,
chautauqua,57202.00,,
elmira-corning,16106.00,,
glens falls,44341.00,,
yuma,47700.00,,
ashtabula,46349.00,,
state college,60706.00,,
western massachusetts,85843.00,,
poconos,44405.00,,
boise,49209.00,,
reading,67708.00,,
worcester / central MA,69295.00,,
scranton / wilkes-barre,31361.00,,
northwest GA,42062.00,,
savannah / hinesville,39386.00,,
williamsport,53881.00,,
york,72108.00,,
statesboro,22196.00,,
valdosta,29828.00,,
hawaii,78084.00,,
ann arbor,76576.00,,
rhode island,64340.00,,
battle creek,37885.00,,
central michigan,75703.00,,
detroit metro,63474.00,,
portland,65740.00,,
fort smith,36777.00,,
cleveland,26179.00,,
columbia,24723.00,,
florence,43007.00,,
greenville / upstate,61183.00,,
flint,50389.00,,
jonesboro,40583.00,,
grand rapids,39913.00,,
little rock,46409.00,,
east idaho,81868.00,,
spokane / coeur d'alene,41336.00,,
hilton head,68437.00,,
myrtle beach,37064.00,,
holland,44619.00,,
kalamazoo,40292.00,,
rapid city / west SD,46966.00,,
sioux falls / SE SD,52607.00,,
lansing,35675.00,,
twin falls,41880.00,,
bloomington-normal,67327.00,,
champaign urbana,53081.00,,
chicago,57238.00,,
texarkana,38810.00,,
bakersfield,60002.00,,
south dakota,56499.00,,
chattanooga,43964.00,,
decatur,92263.00,,
la salle co,46442.00,,
mattoon-charleston,53693.00,,
clarksville,47489.00,,
peoria,46042.00,,
quad cities,62001.00,,
cookeville,29240.00,,
chico,42334.00,,
rockford,38231.00,,
southern illinois,63575.00,,
fresno / madera,49813.00,,
st louis,66417.00,,
western IL,23104.00,,
bloomington,34435.00,,
evansville,35996.00,,
fort wayne,43994.00,,
indianapolis,82637.00,,
kokomo,35690.00,,
lafayette / west lafayette,55725.00,,
muncie / anderson,31044.00,,
south bend / michiana,34656.00,,
terre haute,33317.00,,
ames,42373.00,,
cedar rapids,54465.00,,
des moines,46430.00,,
dubuque,46806.00,,
fort dodge,38380.00,,
iowa city,63761.00,,
mason city,49656.00,,
southwest KS,68280.00,,
salem,46273.00,,
gold country,71228.00,,
hanford-corcoran,58453.00,,
humboldt county,42153.00,,
imperial county,45834.00,,
tri-cities,69064.00,,
philadelphia,46116.00,,
abilene,42766.00,,
amarillo,47053.00,,
beaumont / port arthur,58818.00,,
brownsville,32288.00,,
college station,42964.00,,
corpus christi,56602.00,,
northeast SD,25185.00,,
pierre / central SD,53201.00,,
nashville,50972.00,,
austin,67462.00,,
dallas / fort worth,59175.00,,
deep east texas,30833.00,,
del rio / eagle pass,27140.00,,
el paso,42037.00,,
galveston,38008.00,,
houston,51203.00,,
killeen / temple / ft hood,54370.00,,
laredo,47478.00,,
seattle-tacoma,93481.00,,
fort smith,36777.00,,
phoenix,57957.00,,
